REGION,COUNTRY,STATE / DISTRICT,LOCATION,PROPERTY NAME,STUBA / ROOMSXML,DIRECT CONTRACT,CASTLES & MANORS,PRIVATE ISLANDS,RESORTS,LODGES,HOTELS,LIVE-ABOARD VESSELS,CURATOR RATING,BRIEF DESCRIPTION                   FOR INCLUSION ON             SEARCH RESULTS PAGE,FULL DESCRIPTION                   FOR INCLUSION ON             HOTEL PAGE,OUR GOLD AWARD WINNERS,OUR TOP SALTWATER DESTINATIONS,OUR TOP FRESHWATER DESTINATIONS,OFF THE BEATEN TRACK,QUIRKY  FAVOURITES,CATCH & COOK,TOURNAMENT TRAIL,TEXT FOR INCLUSION ON BOOKING CONFIRMATION VOUCHER,Bespoke fishing experiences provided on site or nearby,Property Name concierge staff can arrange fishing nearby,"We provide our curated ""best guide or charter"" selections",PHYSICAL ADDRESS,WEBSITE,EMAIL,PHONE,AMENITIES SERVICES & FEATURES,ACTIVITIES,TOURS,POOL,DIVING,WATERSPORTS,NEAREST AIRPORT,DISTANCE,TRANSFERS,MORE INFO,FRESH WATER FISHING,SALT WATER FISHING,ACTION,PURITY & TRANQUILITY,HELICOPTER OR  FLOAT PLANE FISHING,FINE DINING,SPA RESORTS,BEACH RESORTS,FISHING,FISHING SEASON,BILLFISH,TUNA,MAHI-MAHI,WAHOO,KINGFISH,QUEENFISH,GT'S,TREVALLY,PELAGICS,REEF FISH ,SNAPPER,ESTUARY FISH,BONEFISH,BARRAMUNDI,PERMIT,TARPON,SEA TROUT,TROUT,SALMON,PIKE,GRAYLING,STEELHEAD,CHAR,BASS,PEACOCK BASS,PERCH,HALIBUT,STURGEON,COD,GOLDEN DORADO,ROOSTERFISH,TIGERFISH,SPECIES,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,BUSINESS NAME,WEBSITE,EMAIL,PHONE / SKYPE ID,CONTACT NAME,NAME,TITLE,PHONE,EMAIL,SKYPE ID ,
DESTINATIONS ,,,,,,,ACCOMMODATION TYPES ,,,,,,,,,INSPIRATIONS,,,,,,,SERVICE FOR THE FISHERMAN                     ,,,,PROPERTY DETAILS,,,,PROPERTY FEATURES,,,,,,GETTING THERE,,,,EXPERIENCES,,,,,,,,,,SEARCH BY SPECIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUIDE 1,,,,,GUIDE 2,,,,,GUIDE 3,,,,,GUIDE 4,,,,,GUIDE 5,,,,,GUIDE 6,,,,,ADMINISTRATORS CONTACT WITH PROPERTY,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,New South Wales,Blue Mountains,Liliianfels Blue Mountains Resort & Spa,1,,,,,,1,,94.00,"Refined & romantic, stately & historic luxurious country mansion set in manicured gardens with escarpment views over the Jamison Valley.","Refined & romantic, stately & historic luxurious country mansion set in manicured gardens with escarpment views over the Jamison Valley & bushwalk access to the landmark Three Sisters rock formations & Echo Point.",,,,,,,,"PROPERTY NAME is near to fine fishing locations and experienced fishing guides.  To help you find the best guide to suit your personal needs & desires, we provide our carefully curated selection of ""best local fishing guides"" for this destination.  We recommend that you confirm your fishing experience early as there can be high seasonal demand.   Tick the box(es) below if you would like us to send an introductory email on your behalf.  Good fishing and thank you for booking with us.    ",,,1,"5-19 Lilianfels Avenue, Katoomba NSW, 2780 Australia",www.lilianfels.com.au,reservations@lilianfels.com.au,612 4780 1200,"Spa, Pools, Gym, Library, Billiard room",,"Nature & eco tours, bushwalking, abseiling, canyoning, rock climbing, mountain biking",1,,,Sydney  SYD,115 kms,"Helicopter, road or rail transport options are available",,1,,,1,,1,1,,"The Blue Mountains and adjoining Central Tablelands area provides a host of secluded streams and lakes yielding rainbow & brown trout with the eastern streams holding bass & perch.  Favourites include the Duckmaloi, Lett, Fish, Cox's and Jenolan rivers as well as Lake Lyell & Thompson Creek Dam.     For best results, regulation compliance and access to the best locations we recommend that you engage an experienced local guide.  Our carefully curated selection of ""best local fishing guides"" will be included with your booking confirmation.   Contact them or Lillianfels concierge staff to ensure that your personal desires are met.   ",All year,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,"Trout, Bass, Perch",Aussie Fly Fisher,aussieflyfisher.com/blue-mountains-fly-fishing/,aussieflyfisher@gmail.com,61 448 760 007,Josh or Max   ,Wilderness Adventures,www.wildernessadventures.net.au,tim@bluemountainsfishing.net,61 403 860 820,Tim Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,New South Wales,Blue Mountains,The Hydro Majestic Hotel ,1,,,,,,1,,93.00,"A stunning luxurious tribute to a bygone era, art deco, art nouveaux & gothic designs Perched on the edge of the Blue Mountains escarpment affording beautiful Megalong Valley views","Built in 1904 as a “palace in the bush” the recently restored Hydo Majestic is a stunning tribute to a bygone era.   This luxurious & creative mix of art deco, art nouveaux & gothic designs is perched on the edge of the Blue Mountains escarpment affording beautiful Megalong Valley views",,,,,,,,"PROPERTY NAME is near to fine fishing locations and experienced fishing guides.  To help you find the best guide to suit your personal needs & desires, we provide our carefully curated selection of ""best local fishing guides"" for this destination.  We recommend that you confirm your fishing experience early as there can be high seasonal demand.   Tick the box(es) below if you would like us to send an introductory email on your behalf.  Good fishing and thank you for booking with us.    ",,,1,"52-88 Great Western Highway, Medlow Bath, NSW 2780, Australia",www.hydromajestic.com.au,reservations@hydromajestic.com.au,612 4782 6885,,,"Nature & eco tours, bushwalking, abseiling, canyoning, rock climbing, mountain biking",,,,Sydney  SYD,118 kms,"Helicopter, road or rail transport options are available",,1,,,1,,1,,,"The Blue Mountains and adjoining Central Tablelands area provides a host of secluded streams and lakes yielding rainbow & brown trout with the eastern streams holding bass & perch.  Favourites include the Duckmaloi, Lett, Fish, Cox's and Jenolan rivers as well as Lake Lyell & Thompson Creek Dam.     For best results, regulation compliance and access to the best locations we recommend that you engage an experienced local guide.  Our carefully curated selection of ""best local fishing guides"" will be included with your booking confirmation.   Contact them or Hydro Majestic concierge staff to ensure that your personal desires are met.",All year,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,"Trout, Bass, Perch",Aussie Fly Fisher,aussieflyfisher.com/blue-mountains-fly-fishing/,aussieflyfisher@gmail.com,61 448 760 007,Josh or Max   ,Wilderness Adventures,www.wildernessadventures.net.au,tim@bluemountainsfishing.net,61 403 860 820,Tim Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,New South Wales,Lord Howe Island,Capella Lodge,1,,,,,1,,,94.00,Luxurious chic elevated modern & elegantly stylish private retreat with spectacular views over pristine & romantic Lovers Bay,Luxurious chic elevated modern & elegantly stylish private retreat with spectacular views over pristine & romantic Lovers Bay - provides fine dining & peaceful barefoot luxury,,,,,,,,"PROPERTY NAME is near to fine fishing locations and experienced charter services.  To help you find the best charter to suit your personal needs & desires, we provide our carefully curated selection of ""best local fishing guides & charters"" for this destination.    We recommend that you confirm your fishing experience early as there can be high seasonal demand.  Tick the box(es) below if you would like us to send an introductory email on your behalf.  Good fishing and thank you for booking with us.    ",,,1,"Lagoon Rd, Lord Howe Island NSW 2898",www.lordhowe.com,reserve@baillielodges.com.au,612 99184355,"Spa, pool",,"Fishing, diving, snorkeling, boat tours, kayaking, cycling, golf, surfing",1,1,1,Lord Howe Island  LDH,1 km ,Complimentary shuttle,,,1,,1,,1,1,1,"Lord Howe Island is fringed by the world’s southernmost coral reef. The clear waters are teeming with fish, including kingfish, yellowfin tuna and blue, black & striped marlin.  The abundance of large pelagic fish within a 30 minute boat ride from the lagoon draws lucky anglers from around the world.   The waters around Balls Pyramid are especially productive.  Rock & beach fishing are popular on the island.  North Bay & Blinky's Beach are among those recommended.  There are special sanctuary zones in the marine park where recreational fishing is not permitted.  Fly fishing in the lagoon is a great option but requires local knowledge & adherence to regulations.  Our carefully curated selection of ""best local fishing charters"" will be included with your booking confirmation.   Contact them or Capella Lodge concierge staff to ensure that your personal desires are met.      ",All year,,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,"Tuna, Wahoo, Mahi-mahi, Kingfish, Pelagics, Trevally, Reef fish ",Lord Howe Island Tours,www.lordhoweislandtours.net,seatosummit@gmail.com,61 2 6563 2218,Jack Shick,Greenback,www.fishlordhowe.com.au,greenback@fishlordhowe.com.au,61 2 6563 2208,David & Glenys Gardiner,Crom's Lagoon Fishing,www.fishinglordhoweisland.com.au,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,Northern Territory,Kakadu National Park,Bamurru Plains,1,,,,,1,,,93.00,Wild outback luxury fishing lodge amid a profusion of stunning birdlife and wetland wonders on the remote Mary River within a vast 300 sq km working buffalo station.  ,Wild outback luxury fishing lodge amid a profusion of stunning birdlife and wetland wonders on the remote Mary River within this vast 300 sq km working buffalo station.  A truly unique Australian luxury bush-camp experience with quality dining & just 10 safari-luxe-style screened bungalows open to the stars.  Kakadu is spiritual indigenous country as seen by few and depicted to the world as the home of Crocodile Dundee,,,,1,1,1,,PROPERTY NAME provides bespoke fishing experiences on site or nearby and can ensure that your personal fishing requirements are satisfied and booked.  We have advised their reservation staff of your booking and we have requested that they contact you directly by email to arrange your fishing experience.  We recommend that you confirm early as there can be high seasonal demand.  Good fishing and thank you for booking with us. ,1,,,Suite 9 Jones Bay Wharf 26-32 Pirrama Rd Pyrmont NSW 2008,www.bamurruplains.com/lodge,bamurru@wildbushluxury.com,61 2 9571 6399 ,Pool,"Fishing, Indigenous experiences, Bird & crocodile watching ","Wetland tours, River cruises, Nature tours,  ",1,,,Darwin  DRW,30 minute flight  or 3 hours by road,Charter flights from Darwin to Bamurru Plains can be arranged through Chartair 61 (0)8 8920 7777 or operations@chartair.com.au.  For transfer assistance contact bamurru@wildbushluxury.com,,1,,1,1,,,,,"The period following the Northern Territory’s ""Top End"" wet season is known as ""The Run Off"".    During this time (February to April) the Mary River floodplains are teeming with one of Australia's most prized sports fish - the iconic Barramundi.  These aggressive, hard fighting fish commonly reach 140cms and over 50 pounds.   Wild Bush Fishing Safaris provide licensed & experienced fully guided fishing at Bamurru Plains on numerous private creeks (including the Sampan & Tommycut) as well as exciting floodplain fishing by air-boat (with casting decks) across 100 sq kilometers of pristine wetland.    During this time Bamurru Plains is transformed into an exclusive fishing lodge.    Book early for this unique & wondrous destination. ",February to April ,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,Barramundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,Queensland,Bedarra Island,Bedarra Island,1,,,1,1,,,,96.00,Romantic 100 acre rainforest Island. Secluded & tranquil with fine dining & just 10 luxury villas overlooking private beaches. ,Romantic 100 acre rainforest Island. Secluded & tranquil with fine dining & just 10 luxury villas overlooking private beaches. A unique barefoot luxury tropical escape,,,,1,1,1,,PROPERTY NAME provides bespoke fishing experiences on site or nearby and can ensure that your personal fishing requirements are satisfied and booked.  We have advised their reservation staff of your booking and we have requested that they contact you directly by email to arrange your fishing experience.  We recommend that you confirm early as there can be high seasonal demand.  Good fishing and thank you for booking with us. ,1,,,"Bedarra Island Resort, Bedarra Island, Mission Beach QLD 4852",www.bedarra.com.au,info@bedarra.com.au,61 7 4068 8233,"Spa, Pool, Gym, Tennis","Fishing, diving, snorkeling, sailing, non-motorised water sports, kayaking, tennis, rainforest walks","Fishing charters, reef tours",1,1,1,Cairns CNS,Helicopter 45 minutes www.gbrhelicopters.com.au,Helicopter or road & speedboat by request to concierge staff or www.gbrhelicopters.com.au,,,1,1,1,,1,1,1,Relaxed and very enjoyable reef fishing is offered around and near the island and the very friendly staff arrange full action deep sea fishing charters on request,All year,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,"Billfish, Tuna, GT's, Mahi-Mahi, Wahoo, Kingfish, Queenfish, Pelagics, Trevally, Reef fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,Queensland,Daintree - Cape Tribulation,Silky Oaks Lodge,1,,,,1,1,,,96.00,Award winning secluded tranquil river-side Daintree rainforest luxury retreat,"Award winning secluded tranquil river-side Daintree rainforest luxury retreat offers 47 superb tree-house, river-house & billabong suites ",,,,,1,1,1,"PROPERTY NAME is near to fine fishing locations and experienced charter services.  To help you find the best charter to suit your personal needs & desires, we provide our carefully curated selection of ""best local fishing guides & charters"" for this destination.    We recommend that you confirm your fishing experience early as there can be high seasonal demand.  Tick the box(es) below if you would like us to send an introductory email on your behalf.  Good fishing and thank you for booking with us.    ",,,1,"Silky Oaks Lodge, Finlayvale Road,  Mossman, QLD, 4873 Australia",www.silkyoakslodge.com.au,reception@silkyoaks.com.au,+61 7 4098 1666,"Spa, Gym","Yoga, river swimming, kayaking, snorkeling, rainforest walks, tennis","Fishing charters, heli-fishing, diving, snorkeling, sailing, reef tours, helicopter tours, rainforest tours, indigenous experiences, horse riding, canopy tours, bird watching, ballooning",1,1,1,Cairns CNS,62 kms,"Helicopter, limousine or shuttle transfers available on request to concierge staff or www.gbrhelicopters.com.au",,,1,1,1,1,1,1,,"Boundless fishing options are available from estuary experiences targeting barramundi, tarpon & mangrove jack through reef fishing on light tackle & fly to magnificent game fishing for billfish (August to March), tuna, wahoo, GT's, mahi-mahi, big pelagics and more.   billfish (August to March), tuna, wahoo, GT's, mahi-mahi, big pelagics and more.   Our carefully curated selection of ""best local fishing charters"" will be included with your booking confirmation.   Contact them or Silky Oaks Lodge concierge staff to ensure that your personal desires are met.    ",All year,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,"Billfish, Tuna, GT's, Mahi-Mahi, Wahoo, Kingfish, Cobia, Queenfish, Pelagics, Trevally, Reef fish, Barramundi, Tarpon, Mangrove Jack",Far North Sports Fishing,www.farnorthsportsfishing.com   ,info@farnorthsportsfishing.com    ,61 499 105 880,,MY Flying Fish,www.myflyingfish.com.au,servations@northernescape.com.au           ,61 7 4777 7377,,Reel Chase,www.reelchasecharters.com,info@reelchasecharters.com,61 457 425 016,,Bungie Helicopters,www.bungiehelicopters.com.au,info@bungiehelicopters.com.au,6 17 40914633,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,Queensland,Lizard Island,Lizard Island Resort,1,,,1,1,,,,98.00,Luxurious 2000 acre private island with arguably the best inner and outer Great Barrier Reef experiences,Luxurious 2000 acre private island with arguably the best inner and outer Great Barrier Reef experiences including 24 exclusive private sandy beaches ,,1,,,,1,1,PROPERTY NAME provides bespoke fishing experiences on site or nearby and can ensure that your personal fishing requirements are satisfied and booked.  We have advised their reservation staff of your booking and we have requested that they contact you directly by email to arrange your fishing experience.  We recommend that you confirm early as there can be high seasonal demand.  Good fishing and thank you for booking with us. ,1,,,"Lizard Island Resort, Lizard Island, Cairns QLD 4871",www.lizardisland.com.au,dnaprpriority@delawarenorth.com,1800 837 204 (from within Australia) or US based number 716 276 0104 (from outside Australia),"Spa, Pools, Gym","Fishing, Diving, Snorkeling, Sailing, Water Sports, Motor boats, Glass bottom kayaks, Tennis, Bushwalking, Picnics",,1,1,1,Cairns CNS,1 hour flight,Private charter & helicopter transfer flights available on request to concierge staff or www.gbrhelicopters.com.au,,,1,1,1,1,1,1,1,"Lizard island provides easy access to excellent fishing locations - just 15minutes to the inner reef for mackerel, queenfish, reef fish, trevally & other pelagics or 50 minutes to the outer reef for seriously bigger game including tuna, wahoo, mahi-mahi & billfish.    The resort provides bespoke private light tackle & heavy duty game fishing tailored to your passion on well equipped resort game boats.  The best Black Marlin season is September to December with the island tournament in October.  Contact Lizard Island Resort concierge staff to ensure that your personal desires are met.    ",All year,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,"Billfish, Tuna, GT's, Mahi-Mahi, Wahoo, Kingfish, Cobia, Queenfish, Pelagics, Trevally, Reef fish, Barramundi, Tarpon, Mangrove Jack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUSTRALIA, NEW ZEALAND & PACIFIC ISLANDS ",AUSTRALIA,Queensland,Palm Islands,Orpheus Island,1,, ,1,1,,,,99.00,"Arrive by helicopter to this pristine 3,380 acre luxurious tropical island paradise intimately surrounded by the spectacular Great Barrier Reef.  ","Arrive by helicopter to this pristine 3,380 acre luxurious tropical island paradise intimately surrounded by the spectacular Great Barrier Reef.  Supreme luxury, unspoilt natural beauty, tranquility & seclusion",,1,,,,,,PROPERTY NAME provides bespoke fishing experiences on site or nearby and can ensure that your personal fishing requirements are satisfied and booked.  We have advised their reservation staff of your booking and we have requested that they contact you directly by email to arrange your fishing experience.  We recommend that you confirm early as there can be high seasonal demand.  Good fishing and thank you for booking with us. ,1,,,"Orpheus Island Lodge, Palm Island QLD 4805",www.orpheus.com.au,reservations@orpheus.com.au,61 7 4777 7377,"Spa, Pool, Gym","Fishing, motor boat hire, sailing, non-motorised water sports, kayaking, snorkeling ","Reef cruises, diving, island tours, helicopter tours, eco-tours, research station tours, guided walking tours, picnics",1,1,1,Townsville TSV      Cairns CNS,30 minutes            90 minutes,"By request, private jet flights are available from any major Australian city or helicopter transfers are available - from Townsville or Cairns.  Contact +61 (0)7 4777 7377
reservations@northernescape.com.au",,,1,1,1,,1,1,1,"Orpheus Island provides easy access to excellent fishing locations - just moments to the inner reef for mackerel, queenfish, reef fish, trevally & other pelagics or take the resort charter to the outer reef for seriously bigger game including tuna, wahoo, mahi-mahi & billfish.    The resort provides bespoke private light tackle & heavy duty game fishing tailored to your passion on well equipped resort game boats.  ",All year,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,"Billfish, Tuna, GT's, Mahi-Mahi, Wahoo, Kingfish, Queenfish, Pelagics, Trevally, Reef fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marketing@northernescape.com.au,,
